Antenna.ID,x,y,Tile.ID,grid_row,grid_col,device_count
70,8700,6500,1034,27,35,19
69,4750,5250,818,22,20,8
68,8250,5250,832,22,34,39
67,9250,5500,876,23,38,5
66,5100,4000,620,17,21,36
65,7000,4500,707,19,29,14
64,7750,4750,750,20,32,18
63,4750,2000,298,9,20,33
62,8030,2650,432,11,33,1
61,8500,2250,353,10,35,0
60,5750,4500,702,19,24,11
59,8000,6250,991,26,33,18
58,8000,7000,1111,29,33,37
57,9880,3371,559,14,40,14
56,9250,2250,356,10,38,0
55,9500,4250,677,18,39,10
54,8950,3550,595,15,36,3
53,7800,3200,511,13,32,0
52,7500,2500,389,11,31,0
51,9250,3000,476,13,38,10
50,9250,1000,156,5,38,0
49,4750,750,98,4,20,0
48,4430,2575,417,11,18,4
47,8750,4750,754,20,36,3
46,6250,2500,384,11,26,17
45,5475,3500,541,15,22,5
44,6750,3250,506,14,28,2
43,9650,5000,798,21,39,8
42,8515,5700,914,23,35,18
41,9500,7500,1197,31,39,48
40,5100,2950,460,12,21,6
39,5750,1250,182,6,24,0
38,4490,3225,497,13,18,2
37,1750,1750,246,8,8,0
36,7700,7700,1230,31,31,29
35,9950,9750,1559,40,40,0
34,9250,8300,1356,34,38,12
33,1000,0,3,1,5,0
32,6600,8300,1346,34,27,12
31,6750,6500,1026,27,28,10
30,6000,5250,823,22,25,6
29,5000,6000,939,25,21,5
28,3750,6500,1014,27,16,8
27,3250,2400,372,10,14,4
26,3250,3750,572,16,14,2
25,1750,3500,526,15,8,3
24,2500,5500,849,23,11,7
23,750,5000,762,21,4,2
22,2250,7750,1208,32,10,29
21,650,6250,962,26,3,4
20,4250,8250,1296,34,18,15
19,750,7500,1162,31,4,2
18,3250,9250,1452,38,14,9
17,5500,9500,1501,39,23,0
16,9750,1750,278,8,40,0
15,6750,1875,306,8,28,1
14,8750,1500,234,7,36,0
13,0,3500,520,15,1,0
12,250,2500,360,11,2,0
11,8500,3000,473,13,35,0
10,8000,4000,631,17,33,61
7,6500,4000,625,17,27,38
6,4000,4500,695,19,17,12
5,7250,5500,868,23,30,9
4,9750,6250,998,26,40,40
3,5750,7000,1102,29,24,3
2,8000,9750,1551,40,33,0
1,500,10000,1561,41,3,0
