TileId,x,y,grid_row,grid_col,person_count
221,5439.809434,1346.844155,6,22,2
222,5550,1498.229151,6,23,1
261,5400,1601.770849,7,22,1
262,5648.229151,1700,7,23,1
263,5798.229151,1700,7,24,1
270,7737.303993,1750,8,31,2
271,7987.303993,1650,7,32,2
272,8172.070888,1625.675919,7,33,1
282,600,1949.270932,8,3,1
283,800.729068,1950,8,4,2
284,1100.729068,1950,8,5,4
285,1250.729068,1950,8,6,6
286,1500.729068,2000,9,7,9
287,1800.729068,1950,8,8,9
288,2100.729068,1950,8,9,13
289,2400,1999.270932,8,10,19
290,2600.729068,2000,9,11,40
291,2800,1950.729068,8,12,78
292,3050.729068,2000,9,13,60
293,3350,1949.270932,8,14,67
294,3600,1900.729068,8,15,79
295,3800,1949.270932,8,16,86
296,4000.729068,1950,8,17,110
297,4250.729068,2000,9,18,99
298,4550.729068,2000,9,19,102
299,4800.729068,1900,8,20,114
300,5250,1901.770849,8,22,94
301,5400,1751.770849,8,22,34
302,5550,1987.303993,8,23,10
303,5824.128772,2000,9,24,5
304,6250,1987.303993,8,26,4
306,6737.303993,2000,9,27,2
307,6987.303993,2000,9,28,2
308,7237.303993,2000,9,29,2
309,7487.303993,2000,9,30,2
310,7750,1762.696007,8,32,4
322,600,2249.270932,9,3,1
324,1100,2250,10,5,2
326,1600.729068,2050,9,7,3
327,1800,2050,9,8,2
328,2200,2050,9,9,4
329,2300.729068,2050,9,10,10
330,2700,2050.729068,9,11,18
331,2950,2200,9,12,68
332,3150,2050,9,13,52
333,3350,2000.729068,9,14,31
334,3650,2000.729068,9,15,34
335,3750.729068,2050,9,16,32
336,4150,2100,9,17,46
337,4355.937513,2250,10,18,39
338,4650.729068,2050,9,19,38
339,4999.372692,2000.353975,9,20,124
340,5248.229151,2050,9,21,164
341,5350,2200,9,22,93
342,5737.303993,2050,9,23,65
343,6000,2012.696007,9,25,59
344,6250,2037.303993,9,26,48
345,6487.303993,2050,9,26,26
346,6550,2012.696007,9,27,2
352,8150,2237.303993,9,33,2
362,550,2499.270932,10,3,1
363,950,2500,11,4,2
364,1050,2300,10,5,2
366,1650,2432.760024,10,7,1
367,1950,2496.796142,10,8,2
368,2115.529152,2500,11,9,2
369,2500,2489.334572,10,11,8
370,2600,2500,11,11,7
371,2800,2500,11,12,14
372,3150,2400,10,13,12
373,3500,2486.84533,10,15,16
375,4000,2500,11,17,11
376,4200,2494.062487,10,17,16
377,4500,2500,11,19,12
378,4550,2400,10,19,17
379,4850,2450,10,20,91
380,5150,2251.770849,10,21,66
381,5450,2450,10,22,85
382,5600,2450,10,23,48
383,5900,2300,10,24,24
384,6050,2450,10,25,47
385,6450,2350.729068,10,26,69
386,6550,2400,10,27,22
392,8150,2487.303993,10,33,1
397,9450,2500,11,38,4
401,500,2749.270932,11,3,2
403,950,2700,11,4,4
404,1150,2650,11,5,3
406,1617.239976,2700,11,7,1
407,1850,2696.796142,11,8,2
408,2065.529152,2750,12,9,3
409,2500,2739.334572,11,11,7
410,2750,2750,12,12,11
411,2800,2650,11,12,11
412,3150,2700,11,13,13
413,3500,2686.84533,11,15,11
415,3950,2750,12,16,10
416,4055.937513,2750,12,17,14
417,4400,2700,11,18,7
418,4600,2741.585174,11,19,30
419,4800,2700,11,20,78
420,5050,2601.770849,11,21,27
421,5500,2550,11,23,37
422,5700,2650,11,23,77
423,5900,2750,12,24,29
424,6050,2750,12,25,7
425,6400,2550,11,26,38
426,6550,2550.729068,11,27,70
427,6800,2750,12,28,37
432,8200,2737.303993,11,33,2
436,9250,2750,12,38,5
437,9300,2750,12,38,19
438,9550,2700,11,39,8
441,400,2949.270932,12,2,2
443,950,3000,13,4,2
444,1150,2950,12,5,3
446,1550,2932.760024,12,7,2
447,1803.203858,2950,12,8,2
448,2015.529152,3000,13,9,5
449,2450,2989.334572,12,10,9
450,2750,2900,12,12,10
451,2900,3000,13,12,12
452,3100,2800,12,13,15
453,3500,2986.84533,12,15,10
455,4000,2994.062487,12,17,13
456,4250,3000,13,18,8
457,4300,2900,12,18,9
458,4600,2941.585174,12,19,49
459,4998.229151,2850,12,20,56
460,5050,2850,12,21,20
461,5350,2900,12,22,8
462,5650,2800,12,23,38
463,5900,3000,13,24,71
464,6050,2900,12,25,32
465,6450,2850,12,26,2
466,6750,2800.729068,12,28,38
467,6750.729068,2950,12,28,73
468,7000.729068,3000,13,29,36
472,8100,2987.303993,12,33,2
475,8950,3000,13,36,2
476,9250,2950,12,38,10
477,9400,3000,13,38,19
478,9550,3000,13,39,9
479,9800,2850,12,40,3
481,400,3249.270932,13,2,2
483,900,3250,14,4,2
484,1150,3250,14,5,3
485,1467.239976,3250,14,6,4
486,1700,3146.796142,13,7,3
487,1900,3184.470848,13,8,2
488,2013.853413,3250,14,9,5
489,2450,3239.334572,13,10,8
490,2700,3150,13,11,10
491,2950,3250,14,12,13
492,3009.307211,3150,13,13,13
493,3350,3236.84533,13,14,8
494,3700,3250,14,15,9
495,3950,3244.062487,13,16,12
496,4200,3250,14,17,7
497,4500,3150.177763,13,19,12
498,4750,3051.770849,13,20,72
499,4800,3200,13,20,36
500,5034.493408,3250,14,21,17
501,5450,3250,14,22,16
502,5700,3234.309068,13,23,7
503,6000,3050,13,25,31
504,6200,3200,13,25,70
505,6300,3200,13,26,27
506,6600,3100,13,27,1
507,6950,3050,13,28,30
508,7200.729068,3100,13,29,71
509,7300,3150,13,30,35
512,8050,3237.303993,13,33,2
515,8900,3250,14,36,6
516,9050,3150,13,37,11
517,9400,3250,14,38,18
518,9600,3250,14,39,21
519,9800,3150,13,40,9
521,400,3399.270932,14,2,2
522,750,3499.270932,14,4,1
523,850,3500,15,4,3
524,1100,3500,15,5,5
525,1350,3432.760024,14,6,6
526,1553.203858,3450,14,7,4
527,1765.529152,3350,14,8,4
529,2450,3489.334572,14,10,11
530,2550,3450,14,11,12
531,2850,3450,14,12,15
532,3249.270932,3450,14,13,14
533,3350,3436.84533,14,14,11
534,3650,3500,15,15,14
535,3855.937513,3450,14,16,10
536,4150,3500,15,17,10
537,4458.414826,3500,15,18,59
538,4650,3251.770849,14,19,77
539,4800,3484.493408,14,20,11
540,5015.506592,3300,14,21,15
541,5350,3300,14,22,20
542,5600,3400,14,23,9
543,6000,3478.647698,14,25,5
544,6250,3300,14,26,35
545,6500,3500,15,27,63
546,6650,3500,15,27,22
547,6800,3300,14,28,2
548,7250,3350.729068,14,30,31
549,7350.729068,3400,14,30,72
550,7500.729068,3400,14,31,34
552,8050,3487.303993,14,33,2
554,8750,3450,14,36,1
555,9000,3450,14,37,2
556,9050,3500,15,37,14
557,9300,3300,14,38,21
558,9550,3450,14,39,23
559,9900,3300,14,40,14
561,335.855965,3517.510341,15,2,2
563,800,3750,16,4,3
564,1117.239976,3700,15,5,5
565,1317.239976,3600,15,6,4
566,1550,3746.796142,15,7,5
567,1950,3636.146587,15,8,4
568,2249.270932,3600,15,9,6
569,2456.073509,3735.751395,15,10,14
570,2550,3550,15,11,9
571,2850,3750,16,12,16
572,3250,3736.84533,15,14,17
573,3263.15467,3650,15,14,10
574,3550,3700,15,15,12
575,3850,3744.062487,15,16,12
576,4100,3750,16,17,54
577,4500,3551.770849,15,19,76
578,4700,3700,15,19,25
579,4800,3684.493408,15,20,3
580,5050,3600,15,21,7
581,5350,3600,15,22,21
582,5700,3750,16,23,11
583,5800,3734.309068,15,24,7
584,6250,3750,16,26,7
585,6500,3750,16,27,33
586,6650,3650,15,27,60
587,6800,3650,15,28,21
588,7150,3550,15,29,1
589,7500,3550,15,31,36
590,7600.729068,3600,15,31,72
591,7750.729068,3600,15,32,34
592,8050,3737.303993,15,33,2
595,9000,3750,16,37,3
596,9100,3750,16,37,5
597,9450,3750,16,38,12
598,9750,3700,15,40,14
599,9900,3750,16,40,10
602,591.649017,3959.137102,16,3,2
603,900,3900,16,4,1
604,1050,3932.760024,16,5,4
606,1550,3896.796142,16,7,5
607,1850,3986.146587,16,8,5
608,2250,3950,16,10,5
609,2500,4000,17,11,14
610,2524.902775,3850,16,11,11
611,2800,4000,17,12,15
612,3063.15467,3950,16,13,24
613,3500,3950,16,15,33
614,3550,4000,17,15,74
615,3755.937513,3950,16,16,137
616,4050,4000,17,17,158
617,4498.229151,3850,16,18,111
618,4550,3950,16,19,101
619,4800,3984.493408,16,20,86
620,5050,3950,16,21,89
621,5300,4000,17,22,106
622,5750,4000,17,24,96
623,5934.309068,4000,17,24,95
